ESID,Start Time,Time Zone,Can Update,Not Enough Data,,
6,ND,ND,,1,,
20,ND,ND,,1,,
71,2023-10-13 9:35:00,US/Mountain,1,,,
102,2023-10-13 15:20:00,US/Mountain,1,,,
105,ND,ND,,1,,
119,2023-10-10 13:10:00,US/Central,1,,,
123,ND,ND,,1,,
125,ND,ND,,1,,
132,2023-10-13 13:36:00,US/Mountain,1,,,
137,2023-10-13 11:38:00,US/Central,1,,,
145,ND,ND,,1,,
172,ND,ND,,1,,
184,ND,ND,,1,,
185,ND,ND,,1,,
186,2023-10-13 15:53:00,US/Central,1,,,
187,ND,ND,,1,,
188,2023-10-12 18:31:00,US/Central,1,,,
190,ND,ND,,1,,
195,2023-10-12 07:19:00,US/Central,1,,,
197,2023-10-12 18:04:00,UTC,1,,,
198,2023-10-12 11:38:00,US/Central,1,,,
201,ND,ND,,1,,
202,ND,ND,,1,,
206,2023-10-12 12:30:00,US/Central,1,,,
208,2023-10-12 11:26:00,US/Central,1,,,
210,ND,ND,,1,,
213,ND,ND,,1,,
215,ND,ND,,1,,
220,2023-10-13 13:04:00,US/Central,1,,,
227,ND,ND,,1,,
233,ND,ND,,1,,
234,ND,ND,,1,,
