ESID,Start Date,Start Time,Time Zone,Can Update,Not Enough Data
64,2024-04-06,15:27:00,US/Central,1,0
71,2024-04-07,ND,ND,0,1
98,ND,ND,ND,0,1
120A,ND,ND,ND,0,1
136,ND,ND,ND,0,1
145,ND,ND,ND,0,1
151,ND,12:55,US/Central,0,1
196,ND,ND,ND,0,1
198,ND,ND,ND,0,1
202,ND,ND,ND,0,1
206,ND,ND,ND,0,1
232,2024-04-05,15:20:00,US/Central,1,0
261,ND,ND,ND,0,1
266,ND,ND,ND,0,1
271,ND,ND,ND,0,1
313,ND,8:48 (AM or PM?),ND,0,1
356,ND,11:00 (AM or PM?),ND,0,1
362,ND,ND,ND,0,1
438,ND,ND,ND,0,1
515,2024-04-05,15:24:00,US/Central,1,0
764,ND,ND,ND,0,1
789,ND,ND,ND,0,1
829,2024-04-06,11:15:00,US/Eastern,1,0
841,ND,ND,ND,0,1
863,ND,ND,ND,0,1
866,ND,ND,ND,0,1
887,ND,ND,ND,0,1
890,ND,ND,ND,0,1
901,ND,ND,ND,0,1
963,ND,ND,ND,0,1
