ESID,Start Date,Start Time,Time Zone,Can Update,Not Enough Data
71,2024-04-07,9:15:00,US/Central,1,1
98,2024-04-06 ,12:07:00,US/Central,1,1
136,2024-04-05,14:10:00,US/Central,1,1
151,2024-04-06,12:55:00,US/Central,1,1
196,2024-04-06 ,10:25:00,US/Central,1,1
198,2024-04-06,09:18:00,US/Central,1,1
266,2024-04-06,11:43:00 ,US/Eastern,1,1
271,2024-04-06,11:30:00 ,US/Eastern,1,1
313,2024-04-06,08:48:00,US/Central,1,1
356,2024-04-06,11:01:00,US/Eastern,1,1
764,2024-04-06,10:20:00,US/Central,1,1
841,2024-04-06,07:40:00,US/Eastern,1,1
862,2024-04-06,10:13:00,US/Eastern,1,1
863,2024-04-06,11:37:00,US/Eastern,1,1
890,2024-04-04, 2:04:00,US/Eastern,1,1
901,2024-04-06,09:34:00,US/Eastern,0,1
