AudioMoth ES ID Number,Latitude,Longitude,Eclipse Type,Coverage Percent,FirstContactDate,FirstContactTimeUTC,SecondContactTimeUTC,ThirdContactTimeUTC,FourthContactTimeUTC,TotalEclipseTimeUTC,Notes,Successful,Needs split
0,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,Failed Deployment,NO,
1,34.53804,-93.03621,Total,100,2024-04-08,17:31:56,18:49:24,18:53:05,20:10:10,18:51:15,Good deployment,YES,YES
2,41.2124,-81.5759,Total,100,2024-04-08,17:59:07,19:13:53,19:17:12,20:28:57,19:15:32,Failed on the 8th,NO,YES
3,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
4,29.4195767,-99.6087549,Total,100,2024-04-08,17:12:47,18:30:12,18:34:31,19:53:48,18:32:21,Failed Deployment,NO,NO
5,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
6,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
7,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
8,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
9,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
10,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
11,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
12,37.464196,-89.77532,Total,100,2024-04-08,17:41:40,18:58:01,19:02:09,20:17:09,19:00:05,Good deployment,YES,YES
13,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,1970s,NO,YES
14,45.515893,-122.587539,Partial,22.32,2024-04-08,17:33:39,0,0,19:19:51,18:25:50,March dates,NO,YES
15,34.51126,-93.06024,Total,100,2024-04-08,17:31:51,18:49:20,18:53:00,20:10:06,18:51:10,Good deployment,YES,YES
16,33.709684,-95.4926622,Total,100,2024-04-08,17:26:48,18:44:04,18:48:04,20:05:37,18:46:04,Failed Deployment,NO,NO
17,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
18,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
